Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,74.79,74.63,74.8,1749,606,563,1719
5,LightGBM,81.19,80.96,81.2,1911,444,428,1854
5,CatBoost,77.12,77.02,77.13,1798,557,504,1778
5,ExtraTree,79.43,79.1,79.42,1878,477,477,1805
6,RandomForest,71.4,71.55,71.43,1644,711,615,1667
6,LightGBM,78.35,77.91,78.34,1862,493,511,1771
6,CatBoost,74.27,74.17,74.28,1731,624,569,1713
6,ExtraTree,76.99,76.52,76.98,1831,524,543,1739
7,RandomForest,70.3,70.11,70.31,1645,710,667,1615
7,LightGBM,77.03,76.62,77.02,1827,528,537,1745
7,CatBoost,72.98,72.66,72.98,1719,636,617,1665
7,ExtraTree,75.61,75.01,75.59,1809,546,585,1697
8,RandomForest,68.4,68.32,68.4,1591,747,718,1580
8,LightGBM,75.82,75.54,75.82,1784,554,567,1731
8,CatBoost,72.8,72.78,72.8,1689,649,612,1686
8,ExtraTree,73.38,72.81,73.37,1750,588,646,1652
9,RandomForest,69.7,69.46,69.71,1634,721,684,1598
9,LightGBM,76.95,76.77,76.95,1802,553,516,1766
9,CatBoost,74.44,74.12,74.44,1755,600,585,1697
9,ExtraTree,74.51,73.91,74.49,1781,574,608,1674
10,RandomForest,70.74,70.7,70.75,1643,712,645,1637
10,LightGBM,78.65,78.44,78.65,1846,509,481,1801
10,CatBoost,76.39,76.15,76.39,1794,561,534,1748
10,ExtraTree,77.16,76.86,77.16,1819,536,523,1759
11,RandomForest,72.07,72.02,72.09,1675,680,615,1667
11,LightGBM,80.63,80.49,80.64,1887,468,430,1852
11,CatBoost,77.59,77.45,77.6,1814,541,498,1784
11,ExtraTree,78.2,78.07,78.21,1826,529,482,1800
12,RandomForest,73.06,72.82,73.07,1715,640,609,1673
12,LightGBM,82.62,82.49,82.63,1932,423,383,1899
12,CatBoost,79.75,79.48,79.75,1880,475,464,1818
12,ExtraTree,79.88,79.57,79.88,1887,468,465,1817
13,RandomForest,76.17,76.13,76.19,1770,585,520,1762
13,LightGBM,84.69,84.5,84.69,1992,363,347,1935
13,CatBoost,81.99,81.84,82.0,1921,434,401,1881
13,ExtraTree,81.56,81.33,81.56,1920,435,420,1862
14,RandomForest,78.87,78.55,78.86,1863,492,488,1794
14,LightGBM,86.54,86.47,86.56,2019,336,288,1994
14,CatBoost,84.86,84.71,84.87,1990,365,337,1945
14,ExtraTree,84.21,83.98,84.21,1986,369,363,1919
15,RandomForest,80.63,80.55,80.65,1880,475,423,1859
15,LightGBM,87.92,87.87,87.94,2048,307,253,2029
15,CatBoost,85.7,85.63,85.72,1999,356,307,1975
15,ExtraTree,85.05,84.87,85.06,2000,355,338,1944
Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,75.36,75.2,75.4,867,253,309,852
5,LightGBM,75.05,74.99,75.08,859,261,308,853
5,CatBoost,75.71,75.7,75.74,864,256,298,863
5,ExtraTree,75.41,75.21,75.44,869,251,310,851
6,RandomForest,75.49,75.28,75.53,871,249,310,851
6,LightGBM,75.05,74.99,75.08,859,261,308,853
6,CatBoost,75.71,75.7,75.74,864,256,298,863
6,ExtraTree,75.01,74.71,75.06,869,251,319,842
7,RandomForest,75.58,75.56,75.61,863,257,300,861
7,LightGBM,75.05,74.99,75.08,859,261,308,853
7,CatBoost,75.71,75.7,75.74,864,256,298,863
7,ExtraTree,75.19,74.8,75.24,875,245,321,840
8,RandomForest,75.54,75.33,75.58,871,249,309,852
8,LightGBM,75.05,74.99,75.08,859,261,308,853
8,CatBoost,75.71,75.7,75.74,864,256,298,863
8,ExtraTree,75.1,74.71,75.15,874,246,322,839
9,RandomForest,75.32,75.12,75.36,868,252,311,850
9,LightGBM,75.05,74.99,75.08,859,261,308,853
9,CatBoost,75.71,75.7,75.74,864,256,298,863
9,ExtraTree,75.1,74.67,75.15,876,244,324,837
10,RandomForest,75.27,75.02,75.32,870,250,314,847
10,LightGBM,75.05,74.99,75.08,859,261,308,853
10,CatBoost,75.71,75.7,75.74,864,256,298,863
10,ExtraTree,75.45,75.09,75.5,877,243,317,844
11,RandomForest,75.93,75.61,75.98,881,239,310,851
11,LightGBM,75.05,74.99,75.08,859,261,308,853
11,CatBoost,75.71,75.7,75.74,864,256,298,863
11,ExtraTree,75.71,75.51,75.75,873,247,307,854
12,RandomForest,75.67,75.5,75.71,871,249,306,855
12,LightGBM,75.05,74.99,75.08,859,261,308,853
12,CatBoost,75.71,75.7,75.74,864,256,298,863
12,ExtraTree,75.32,75.01,75.36,873,247,316,845
13,RandomForest,75.98,75.82,76.01,874,246,302,859
13,LightGBM,75.05,74.99,75.08,859,261,308,853
13,CatBoost,75.71,75.7,75.74,864,256,298,863
13,ExtraTree,75.36,75.04,75.41,874,246,316,845
14,RandomForest,75.14,74.99,75.18,864,256,311,850
14,LightGBM,75.05,74.99,75.08,859,261,308,853
14,CatBoost,75.71,75.7,75.74,864,256,298,863
14,ExtraTree,75.41,75.14,75.45,872,248,313,848
15,RandomForest,75.45,75.13,75.5,875,245,315,846
15,LightGBM,75.05,74.99,75.08,859,261,308,853
15,CatBoost,75.71,75.7,75.74,864,256,298,863
15,ExtraTree,75.05,74.59,75.11,877,243,326,835
