matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-A,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,result
KR_6745375285,1,1,1,-1,EARTH_DRAGON,2,25,12,4,2,-4,4,0,1
KR_6743623149,1,1,1,1,HEXTECH_DRAGON,2,50,24,5,7,15,-5,0,1
KR_6747726109,1,1,1,1,FIRE_DRAGON,2,53,7,6,1,0,-1,0,1
KR_6742914013,-1,1,1,1,AIR_DRAGON,1,33,15,-1,-2,-2,2,0,1
KR_6746100622,1,1,1,1,AIR_DRAGON,2,13,-11,8,7,-2,4,0,1
KR_6744735879,1,-1,1,1,CHEMTECH_DRAGON,1,-34,47,0,-4,12,-1,0,1
KR_6747524699,1,,,,,3,-18,0,8,20,32,-1,0,1
KR_6742501771,1,1,1,1,HEXTECH_DRAGON,5,117,17,14,12,-3,4,0,1
KR_6723353812,-1,,,1,,-2,19,0,3,-12,0,0,0,1
KR_6744315789,1,1,1,1,CHEMTECH_DRAGON,1,-30,0,2,17,38,4,0,1
KR_6747550361,-1,1,1,1,FIRE_DRAGON,1,10,-4,1,-3,8,3,0,1
KR_6744830116,-1,-1,-1,1,CHEMTECH_DRAGON,3,88,-32,7,4,0,7,0,1
KR_6721973666,1,1,1,1,AIR_DRAGON,5,29,68,6,2,34,-3,0,1
KR_6744748564,-1,1,-1,1,FIRE_DRAGON,3,-13,2,11,23,13,2,0,1
KR_6749174974,-1,1,,1,FIRE_DRAGON,3,69,20,7,10,0,1,0,1
KR_6747670015,-1,,,1,,-3,-8,0,-17,-47,47,0,0,1
KR_6748037162,1,1,1,1,EARTH_DRAGON,3,-17,-7,14,24,-13,6,0,1
KR_6739718721,1,1,1,1,HEXTECH_DRAGON,2,27,15,-2,-4,4,-2,0,1
KR_6727845541,1,-1,1,1,AIR_DRAGON,4,75,-24,19,26,1,10,0,1
